@relation higgs

@attribute mll numeric
@attribute mjj numeric
@attribute met-phi_centrality numeric
@attribute mt numeric
@attribute DYjj numeric
@attribute sumMlj numeric
@attribute dphill numeric
@attribute contOLV numeric
@attribute ptTotal numeric
@attribute label {-1, 1}

@data
0.19264,0.09243,0.09745,0.28918,0.1418,0.08432,0.51729,0.69144,0.5331,-1
0.3938,0.14976,0.15502,0.30797,0.40172,0.14307,0.61468,0.57149,0.01201,-1
0.23666,0.18877,0.95008,0.13437,0.41496,0.14438,0.93642,0.40447,0.13898,-1
0.41491,0.14365,0.0689,0.3841,0.26982,0.15446,0.79997,0.42103,0.40465,-1
0.24043,0.154,0.81379,0.18391,0.34107,0.18807,0.38338,0.73139,0.3043,-1
0.6694,0.19106,0.05212,0.43283,0.39308,0.25562,0.9039,0.64674,0.21351,-1
0.28615,0.38778,0.582,0.31961,0.29211,0.35931,0.22002,0.49273,0.18278,-1
0.3387,0.12959,0.56176,0.37674,0.21436,0.25676,0.31748,0.28633,0.17802,-1
0.16838,0.06381,0.61433,0.24368,0.11486,0.14062,0.32726,0.15312,0.10606,-1
0.14976,0.06916,0.29766,0.21394,0.14201,0.10453,0.27256,0.75729,0.25904,-1
0.18962,0.11663,0.42821,0.31002,0.33329,0.12675,0.0691,0.40232,0.14937,-1
0.5415,0.14568,0.28483,0.45133,0.30083,0.20844,0.63079,0.58864,0.50785,-1
0.37491,0.11136,0.06909,0.53369,0.22429,0.15149,0.51132,0.43354,0.11908,-1
0.72723,0.07368,0.06284,0.55861,0.18324,0.1646,0.84405,0.7577,0.06077,-1
1.10165,0.38879,0.04989,0.70308,0.50957,0.3612,0.54332,0.72806,0.01615,-1
0.26895,0.31757,0.05054,0.21235,0.55666,0.2742,0.94258,0.71956,0.19292,-1
0.54497,0.05571,0.05156,0.45621,0.11154,0.1117,0.74578,0.36849,0.19168,-1
0.13224,0.07877,0.05515,0.14713,0.22252,0.09677,0.33236,0.46798,0.30344,-1
0.06505,0.26799,0.4349,0.18982,0.24866,0.2006,0.06184,0.64977,0.26865,-1
0.35471,0.21728,0.4984,0.21728,0.45117,0.18676,0.02973,0.62188,0.35933,-1
0.0806,0.38486,0.1016,0.35507,0.52353,0.28792,0.07409,0.24285,0.35863,-1
0.83028,0.13758,0.06419,0.51433,0.32913,0.21158,0.83147,0.61628,0.25411,-1
