@relation higgs

@attribute mll numeric
@attribute mjj numeric
@attribute met-phi_centrality numeric
@attribute mt numeric
@attribute DYjj numeric
@attribute sumMlj numeric
@attribute dphill numeric
@attribute contOLV numeric
@attribute ptTotal numeric
@attribute label {-1, 1}

@data
0.13716,0.25467,0.35132,0.27793,0.46109,0.20451,0.18237,0.75093,0.15638,-1
0.27457,0.19667,0.05054,0.29424,0.42173,0.15131,0.91188,0.51351,0.22298,-1
0.092,0.1859,0.4787,0.19189,0.31458,0.14367,0.14649,0.21011,0.15988,-1
0.28724,0.1484,0.25518,0.28452,0.42291,0.17741,0.2626,0.34098,0.20774,-1
0.1909,0.4303,0.5936,0.24417,0.4808,0.50866,0.28017,0.93877,0.05119,-1
0.17695,0.10505,0.41222,0.27351,0.08935,0.13331,0.32973,0.52605,0.65055,-1
0.11718,0.23447,0.42971,0.19284,0.41495,0.21884,0.16545,0.26771,0.25979,-1
0.20018,0.67796,0.31738,0.29161,0.65086,0.41336,0.29455,0.36335,0.01762,-1
0.20769,1.52023,0.48431,0.23857,0.83747,0.63485,0.02262,0.12493,0.03599,-1
0.13824,0.36232,0.67903,0.18231,0.42115,0.23486,0.24115,0.2186,0.34694,-1
0.10703,0.27896,0.35329,0.30554,0.39018,0.19239,0.23402,0.30627,0.80305,-1
0.25669,0.80452,0.36278,0.2668,0.72229,0.36637,0.47941,0.14333,0.28726,-1
0.1295,0.61518,0.24655,0.1832,0.61171,0.24528,0.33583,0.06318,0.02796,-1
0.18343,0.43818,0.67914,0.13505,0.41819,0.22695,0.42719,0.36297,0.24397,-1
0.32394,0.36551,0.27976,0.59831,0.46554,0.40787,0.10329,0.24373,0.13344,-1
0.32325,0.2299,0.57004,0.21408,0.46406,0.19423,0.49525,0.29579,0.11927,-1
0.35774,1.3352,0.26009,0.50935,0.62398,0.87735,0.24437,0.28673,0.30625,-1
0.13957,0.80238,0.62115,0.08453,0.55439,0.49268,0.14129,0.08556,0.50546,-1
0.15526,0.91948,0.89359,0.0884,0.72596,0.39061,0.2658,0.30523,0.08022,-1
0.16684,0.41721,0.50301,0.1007,0.49266,0.21301,0.00482,0.30658,0.10646,-1
0.20886,0.3485,0.55279,0.22356,0.48868,0.36655,0.09386,0.13174,0.29751,-1
0.13805,0.2189,0.47964,0.33348,0.40648,0.28343,0.03369,0.16601,0.56072,-1
0.10284,0.9224,0.78719,0.08412,0.60173,0.54432,0.11012,0.30423,0.03196,-1
0.11111,1.36376,0.53877,0.18041,0.76704,0.58046,0.06582,0.35296,0.42103,-1
0.11284,0.3952,0.55983,0.10317,0.4557,0.31127,0.13548,0.84498,0.14373,-1
0.12174,0.39123,0.51341,0.22722,0.46233,0.31727,0.11865,0.62159,0.22834,-1
0.09006,0.10511,0.77595,0.06202,0.33709,0.12543,0.20904,0.48493,0.15591,-1
0.26966,0.25262,0.09239,0.33482,0.41648,0.19019,0.51096,0.16836,0.16644,-1
0.34606,0.37453,0.61861,0.19406,0.52736,0.23817,0.91019,0.3438,0.31916,-1
0.09302,0.54466,0.6954,0.07304,0.43303,0.37446,0.01418,0.46421,0.14777,-1
0.09564,0.50154,0.78026,0.12266,0.47825,0.27328,0.18247,0.08648,0.26419,-1
0.11348,0.65055,0.51671,0.07195,0.58273,0.41175,0.00388,0.28625,0.0653,-1
0.19492,0.28611,0.6789,0.11974,0.42597,0.32852,0.14601,0.45008,0.09174,-1
0.16622,0.63887,0.52266,0.24961,0.51861,0.45907,0.17065,0.36094,0.17845,-1
0.1343,1.11826,0.58983,0.19487,0.6417,0.803,0.12113,0.5165,0.04081,-1
0.23191,0.24111,0.07248,0.29669,0.46091,0.20804,0.40684,0.46184,0.34021,-1
0.12209,0.3228,0.54664,0.13405,0.47851,0.29814,0.16302,0.3239,0.18085,-1
0.24087,0.09139,0.16007,0.28589,0.3263,0.11878,0.71536,0.74785,0.33146,-1
0.31387,0.50157,0.19889,0.21882,0.57369,0.31085,0.82966,0.31656,0.07981,-1
0.18902,0.85547,0.77484,0.20715,0.67018,0.33246,0.50748,0.26628,0.11023,-1
0.18562,0.5314,0.5031,0.30608,0.53765,0.37207,0.22297,0.3953,0.16679,-1
0.23658,0.21161,0.46784,0.21607,0.37846,0.25272,0.30439,0.61259,0.23224,-1
0.0815,0.11529,0.89024,0.04547,0.30408,0.16015,0.11703,0.2816,0.19164,-1
0.17901,0.25677,0.14635,0.22766,0.35141,0.35168,0.13465,0.63482,0.1181,-1
0.11749,0.24208,0.39278,0.20023,0.30588,0.20763,0.15904,0.36257,0.06552,-1
0.18115,0.12225,0.50518,0.13393,0.26136,0.16022,0.03794,0.41497,0.23248,-1
0.23608,1.08353,0.07653,0.28216,0.69088,0.3209,0.76044,0.18035,0.17982,-1
0.32741,0.3377,0.5422,0.28531,0.5027,0.25496,0.55561,0.33515,0.23542,-1
0.196,0.21372,0.13096,0.3344,0.39164,0.17336,0.18232,0.30792,0.43349,-1
0.08981,0.50838,0.44531,0.26348,0.58859,0.31409,0.04353,0.11395,0.39687,-1
0.14653,0.73253,0.58834,0.20887,0.52297,0.30501,0.15966,0.38194,0.20388,-1
0.31046,0.21746,0.44541,0.26844,0.2955,0.20079,0.4796,0.20928,0.21638,-1
0.11374,0.43372,0.53531,0.1597,0.46107,0.29605,0.11602,0.39863,0.13802,-1
0.19103,0.83237,0.05441,0.27936,0.75515,0.301,0.44886,0.14099,0.15697,-1
0.24024,0.26509,0.66505,0.14684,0.3121,0.33576,0.18552,0.40139,0.30723,-1
0.24395,0.15914,0.12205,0.21215,0.38298,0.14352,0.57309,0.14054,0.27036,-1
0.1706,0.3211,0.64167,0.19824,0.45524,0.23079,0.32937,0.23164,0.22712,-1
0.10084,1.23308,0.51987,0.27572,0.74666,0.69262,0.1298,0.67152,0.05061,-1
0.15118,0.3474,0.68481,0.16206,0.42608,0.36321,0.15956,0.46566,0.36816,-1
0.15158,0.2245,0.62262,0.09568,0.29635,0.38937,0.09801,0.86758,0.11878,-1
0.22206,0.1989,0.90381,0.16249,0.16841,0.15351,0.49739,0.42204,0.31665,-1
0.18757,0.48527,0.42407,0.28267,0.56351,0.27536,0.29144,0.23631,0.16888,-1
0.2491,0.87549,0.73292,0.17698,0.59602,0.46989,0.34943,0.39192,0.17842,-1
0.05969,0.8616,0.51454,0.207,0.70692,0.37357,0.08384,0.05475,0.14154,-1
0.25859,0.41914,0.07918,0.19041,0.5559,0.21372,0.6386,0.24067,0.17577,-1
0.30821,0.27568,0.69312,0.23425,0.45434,0.26531,0.38068,0.23703,0.23751,-1
0.19945,1.9784,0.52038,0.32224,0.66869,0.69954,0.21593,0.18498,0.26453,-1
0.10755,0.30359,0.52868,0.16659,0.43474,0.24123,0.13766,0.18063,0.06005,-1
0.1021,0.47954,0.51117,0.11667,0.58881,0.26177,0.20689,0.25619,0.39842,-1
0.11751,1.60623,0.41638,0.20781,0.87232,0.47051,0.2083,0.18634,0.14417,-1
0.15836,0.21585,0.94597,0.09711,0.38484,0.18811,0.32756,0.1684,0.23904,-1
0.11779,0.32717,0.39602,0.26977,0.52038,0.2224,0.24995,0.48857,0.06196,-1
0.11178,0.73324,0.50646,0.18644,0.58717,0.43472,0.0148,0.28446,0.20619,-1
0.08397,0.95171,0.16636,0.16398,0.60383,0.3407,0.23242,0.43636,0.05046,-1
0.14867,0.15366,0.3526,0.23558,0.27716,0.18106,0.20281,0.68115,0.0727,-1
0.20777,0.40373,0.52541,0.21553,0.4104,0.38673,0.03197,0.68727,0.10535,-1
0.08713,0.5015,0.80686,0.09407,0.45239,0.29463,0.16844,0.37222,0.25122,-1
0.20293,0.09818,0.52129,0.24251,0.26054,0.18885,0.14717,0.25142,0.29995,-1
0.0732,0.30676,0.53058,0.26046,0.42281,0.2119,0.18476,0.25739,0.32035,-1
0.11648,1.63613,0.45836,0.25932,0.71686,0.46562,0.22574,0.09999,0.12949,-1
0.10524,0.30291,0.54808,0.19674,0.38989,0.19458,0.19153,0.11681,0.45955,-1
0.12546,0.69044,0.49236,0.29101,0.5978,0.39003,0.16576,0.26749,0.13745,-1
0.14656,0.16616,0.30425,0.08906,0.38224,0.12354,0.52406,0.45599,0.22458,-1
0.10567,0.24199,0.36891,0.4155,0.34319,0.22054,0.14459,0.28411,0.36023,-1
0.21108,0.29683,0.61267,0.25307,0.3799,0.28277,0.23094,0.12244,0.18231,-1
0.16648,0.7922,0.56056,0.14664,0.46447,0.35691,0.39606,0.72406,0.36871,-1
0.09118,0.19491,0.55632,0.15019,0.24194,0.1503,0.27007,0.64214,0.24189,-1
0.19763,0.41119,0.57933,0.23507,0.52357,0.26249,0.28502,0.18097,0.18183,-1
0.13578,0.41484,0.48251,0.3629,0.49614,0.35789,0.02416,0.13837,0.39402,-1
0.18107,0.39334,0.45701,0.23997,0.4756,0.23557,0.03418,0.54568,0.121,-1
0.09567,0.92536,0.59784,0.16818,0.54729,0.40845,0.13527,0.13791,0.51045,-1
0.23708,0.18553,0.37137,0.3574,0.38431,0.22863,0.31233,0.32342,0.32941,-1
0.10882,0.25754,0.31849,0.30238,0.46007,0.17175,0.19764,0.53578,0.00375,-1
0.17947,0.1374,0.52171,0.30761,0.22641,0.14258,0.21503,0.65428,0.19019,-1
0.1148,0.38583,0.5108,0.28281,0.40827,0.20932,0.04429,0.32236,0.31789,-1
0.11419,0.9509,0.5224,0.23529,0.62832,0.38207,0.17569,0.26115,0.16645,-1
0.05829,0.71298,0.50293,0.19102,0.63981,0.29177,0.08209,0.23914,0.50603,-1
0.16433,0.09283,0.33714,0.23151,0.29752,0.12806,0.30561,0.5135,0.28029,-1
0.1862,0.14013,0.11826,0.28602,0.3386,0.11436,0.11903,0.50308,0.2866,-1
0.22485,0.97458,0.09691,0.37592,0.68612,0.31712,0.54968,0.14064,0.3666,-1
0.21517,0.12823,0.81009,0.12631,0.16869,0.14157,0.29919,0.85691,0.22235,-1
0.20923,0.14959,0.17546,0.35346,0.28907,0.17159,0.26408,0.35504,0.09327,-1
0.15944,0.16403,0.42824,0.27291,0.34785,0.2028,0.16487,0.60738,0.50993,-1
0.28053,0.29256,0.36405,0.30635,0.54155,0.19501,0.4359,0.29405,0.04234,-1
0.09815,0.58837,0.49588,0.25179,0.69778,0.31775,0.08813,0.30298,0.1746,-1
0.09942,0.28289,0.5715,0.16227,0.42564,0.30299,0.09755,0.1042,0.27221,-1
0.10754,0.84733,0.43252,0.21829,0.6206,0.41461,0.07692,0.43596,0.15868,-1
0.15669,0.37671,0.64721,0.16816,0.38488,0.29342,0.23777,0.42966,0.19345,-1
0.26585,1.14665,0.62372,0.21553,0.53669,0.47262,0.34452,0.11893,0.05031,-1
0.24497,0.33752,0.48893,0.2075,0.39201,0.22892,0.64634,0.62991,0.15905,-1
0.17441,0.56321,0.85156,0.10901,0.51419,0.34312,0.37818,0.74635,0.2025,-1
0.28884,0.19435,0.12438,0.28575,0.25471,0.23418,0.31674,0.50722,0.03279,-1
0.1398,1.42284,0.32779,0.15536,0.83368,0.4563,0.27777,0.19369,0.26012,-1
0.1352,0.80821,0.40396,0.35304,0.67698,0.32369,0.09821,0.24497,0.17911,-1
0.22746,0.23018,0.94499,0.15766,0.43641,0.22021,0.43123,0.64764,0.55108,-1
0.20326,0.29471,0.22545,0.24169,0.46989,0.28949,0.17542,0.49066,0.4353,-1
0.2277,0.21526,0.40651,0.28122,0.27477,0.1565,0.26767,0.58476,0.03977,-1
0.24854,0.16855,0.14231,0.27693,0.33246,0.14848,0.54291,0.44255,0.02842,-1
0.13537,0.25245,0.59481,0.22227,0.34213,0.22967,0.26757,0.43081,0.46969,-1
0.07171,0.28294,0.44577,0.2093,0.41308,0.14431,0.24273,0.18478,0.2132,-1
0.26678,0.2046,0.65632,0.22945,0.16977,0.22468,0.36521,0.2326,0.33167,-1
0.11002,0.14971,0.51066,0.12128,0.27167,0.17653,0.15077,0.07039,0.1761,-1
0.13146,0.42666,0.34046,0.19152,0.49765,0.27085,0.27786,0.52742,0.05196,-1
0.35103,0.51855,0.81348,0.19136,0.67815,0.2794,0.75881,0.32547,0.26912,-1
0.11454,1.14221,0.78809,0.06856,0.70574,0.64846,0.1521,0.59191,0.05083,-1
0.17492,0.85456,0.91137,0.11642,0.64964,0.35293,0.42014,0.41545,0.16989,-1
0.0727,0.4014,0.54115,0.1623,0.13351,0.24473,0.08559,0.62174,0.15217,-1
0.09294,0.52335,0.47989,0.30876,0.62959,0.32017,0.05822,0.06324,0.09212,-1
0.2299,0.20214,0.05001,0.35975,0.35226,0.2016,0.32085,0.16698,0.384,-1
0.13314,0.51635,0.61383,0.08234,0.48036,0.32002,0.10174,0.30027,0.27316,-1
0.21854,0.29768,0.52033,0.2004,0.47772,0.26102,0.18062,0.31568,0.58325,-1
0.1133,0.42463,0.62108,0.16623,0.52706,0.29044,0.18072,0.23811,0.36353,-1
0.36039,0.13912,0.18558,0.24249,0.33926,0.19215,0.57528,0.04696,0.11289,-1
0.08948,0.48285,0.28521,0.24441,0.59923,0.23921,0.19934,0.20431,0.09845,-1
0.13874,0.21197,0.64627,0.1274,0.3421,0.16691,0.17134,0.31804,0.17353,-1
0.07599,0.57629,0.47396,0.18184,0.47625,0.29244,0.12054,0.14075,0.29605,-1
0.19637,1.1949,0.49998,0.24948,0.72256,0.49906,0.00002,0.15819,0.12356,-1
0.0939,0.56092,0.54358,0.10373,0.68521,0.37572,0.10216,0.49856,0.14694,-1
0.10379,0.86644,0.94132,0.0616,0.50413,0.4639,0.09451,0.3887,0.21325,-1
0.11714,0.50787,0.49624,0.33196,0.55826,0.36116,0.01041,0.44788,0.17318,-1
0.13516,0.72277,0.94186,0.10021,0.49096,0.53848,0.08704,0.19397,0.16368,-1
0.07297,0.92844,0.5495,0.09683,0.61976,0.42065,0.11366,0.30268,0.67655,-1
0.06386,0.31592,0.53956,0.15704,0.47586,0.30306,0.09578,0.8109,0.30816,-1
0.05704,1.67161,0.50503,0.20813,0.70689,0.59862,0.04901,0.47415,0.16991,-1
0.15714,0.26146,0.93923,0.10588,0.43667,0.17947,0.26093,0.33871,0.33508,-1
0.16832,0.49204,0.52619,0.15875,0.44618,0.42315,0.03331,0.70729,0.08149,-1
0.09632,2.25858,0.6157,0.11821,0.79685,0.68835,0.07639,0.10947,0.05735,-1
0.17534,0.54314,0.83915,0.09202,0.66184,0.27521,0.26387,0.15354,0.16785,-1
0.24783,0.35022,0.54,0.17751,0.47123,0.31406,0.05852,0.22801,0.08035,-1
0.07159,0.10007,0.62501,0.13188,0.26413,0.15109,0.14492,0.2408,0.14777,-1
0.15908,0.77997,0.74085,0.12529,0.49122,0.45825,0.13782,0.12289,0.05599,-1
0.25686,0.28722,0.4869,0.20537,0.33984,0.24764,0.10513,0.37635,0.18157,-1
0.07046,0.09581,0.53984,0.04743,0.32604,0.13276,0.10426,0.39168,0.33948,-1
0.1131,0.12121,0.44905,0.29571,0.404,0.16687,0.10651,0.25391,0.20344,-1
0.19281,0.5486,0.17375,0.30827,0.64724,0.32409,0.33012,0.11512,0.11367,-1
0.24406,0.68012,0.12813,0.24898,0.66703,0.37907,0.58216,0.57401,0.19063,-1
0.24812,0.78795,0.60814,0.18466,0.66665,0.46591,0.13328,0.18057,0.26051,-1
0.23065,0.14707,0.55545,0.18478,0.40367,0.1855,0.27465,0.22183,0.21623,-1
0.25796,0.26864,0.06255,0.29094,0.49126,0.18246,0.72859,0.37261,0.09864,-1
0.11486,0.69261,0.57291,0.17603,0.52345,0.44734,0.12958,0.12302,0.12452,-1
